Id,MSSubClass,LotArea,Alley,Neighborhood,OverallQual,OverallCond,YearBuilt,YearRemodAdd,BsmtFinSF1,BsmtUnfSF,TotalBsmtSF,GrLivArea,BsmtFullBath,BedroomAbvGr,KitchenAbvGr,TotRmsAbvGrd,Fireplaces,GarageFinish,GarageCars,GarageArea,PoolQC,MiscFeature,MoSold,YrSold
212,20,10420,NA,Edwards,6,5,2009,2009,36,1176,1212,1212,0,3,1,6,0,RFn,2,460,NA,NA,3,2010
213,60,8640,NA,Somerst,7,5,2009,2009,822,78,900,1852,1,3,1,7,1,RFn,2,644,NA,NA,7,2009
214,20,13568,NA,CollgCr,5,5,1995,1995,716,274,990,990,0,3,1,5,0,Unf,2,576,NA,NA,7,2006
215,60,10900,NA,CollgCr,6,7,1977,1977,378,311,689,1392,0,3,1,6,0,Fin,1,299,NA,Shed,3,2010
216,20,10011,NA,NAmes,5,6,1957,1996,360,710,1070,1236,0,2,1,6,1,Unf,1,447,NA,NA,5,2006
217,20,8450,NA,CollgCr,7,5,2004,2004,946,490,1436,1436,1,3,1,8,0,Unf,2,484,NA,NA,4,2008
218,70,9906,Grvl,OldTown,4,4,1925,1950,0,686,686,1328,0,3,1,8,0,Unf,1,210,NA,NA,9,2006
219,50,15660,NA,Crawfor,7,9,1939,2006,341,457,798,1954,0,3,1,8,2,Unf,2,431,NA,NA,5,2008
220,120,3010,NA,Blmngtn,7,5,2005,2006,16,1232,1248,1248,0,2,1,5,0,Fin,2,438,NA,NA,3,2006
221,20,8990,NA,CollgCr,7,5,2006,2006,0,1498,1498,1498,0,2,1,5,0,RFn,2,675,NA,NA,4,2006
222,60,8068,NA,Gilbert,6,5,2002,2002,0,1010,1010,2267,0,4,1,8,1,RFn,2,390,NA,NA,12,2009
223,60,11475,NA,NWAmes,6,6,1975,1975,550,163,713,1552,1,3,1,6,1,RFn,2,434,NA,NA,2,2006
224,20,10500,NA,NAmes,4,6,1971,1971,524,160,864,864,0,2,1,4,0,Unf,2,576,NA,NA,3,2009
225,20,13472,NA,NridgHt,10,5,2003,2003,56,2336,2392,2392,0,3,1,8,1,Fin,3,968,NA,NA,6,2009
226,160,1680,NA,BrDale,5,5,1971,1971,0,630,630,1302,0,3,1,6,0,Unf,1,280,NA,NA,5,2009
227,60,9950,NA,NoRidge,7,5,1995,1995,565,638,1203,2520,0,4,1,9,1,RFn,3,721,NA,NA,6,2007
228,160,1869,NA,BrDale,6,6,1970,1970,321,162,483,987,0,2,1,5,0,Unf,1,280,NA,NA,9,2008
229,20,8521,NA,Sawyer,5,5,1967,1967,842,70,912,912,0,3,1,5,1,Unf,1,336,NA,NA,5,2010
230,120,3182,NA,Blmngtn,7,5,2005,2006,16,1357,1373,1555,0,2,1,7,1,Fin,2,430,NA,NA,5,2009
231,20,8760,NA,NAmes,6,6,1959,1959,0,1194,1194,1194,1,3,1,6,0,RFn,1,312,NA,NA,4,2010
232,60,15138,NA,NoRidge,8,5,1995,1996,689,773,1462,2794,1,4,1,9,1,Fin,3,810,NA,NA,7,2009
233,160,1680,NA,BrDale,6,5,1972,1972,0,483,483,987,0,2,1,5,1,Unf,1,288,NA,NA,6,2006
234,20,10650,NA,CollgCr,5,6,1976,1976,182,0,894,894,1,3,1,5,0,Unf,1,308,NA,NA,2,2010
235,60,7851,NA,Gilbert,6,5,2002,2002,625,235,860,1960,1,4,1,8,2,Fin,2,440,NA,NA,5,2010
236,160,1680,NA,BrDale,6,3,1971,1971,358,125,483,987,0,2,1,5,0,Unf,1,264,NA,NA,8,2008
237,20,8773,NA,CollgCr,7,5,2004,2004,24,1390,1414,1414,0,3,1,6,0,RFn,2,494,NA,NA,5,2010
238,60,9453,NA,SawyerW,7,7,1993,2003,402,594,996,1744,0,3,1,7,0,RFn,2,457,NA,NA,2,2010
239,20,12030,NA,NridgHt,8,5,2007,2007,0,1694,1694,1694,0,3,1,7,0,Fin,3,818,NA,NA,12,2007
240,50,8741,NA,Edwards,6,4,1945,1950,94,641,735,1487,0,3,1,7,1,Unf,1,220,NA,NA,4,2010
241,20,9000,NA,Somerst,8,5,2008,2008,1078,488,1566,1566,1,3,1,7,0,RFn,2,750,NA,NA,4,2010
242,30,3880,NA,OldTown,5,9,1945,1997,329,357,686,866,0,2,1,4,0,NA,0,0,NA,NA,8,2007
243,50,5000,NA,OldTown,5,4,1900,1950,0,540,540,1440,0,3,1,6,0,Unf,1,352,NA,NA,4,2006
244,160,10762,NA,SawyerW,6,6,1980,1980,0,626,626,1217,0,3,1,6,1,RFn,1,288,NA,NA,4,2009
245,60,8880,NA,SawyerW,7,5,1994,2002,695,253,948,2110,1,3,1,8,2,RFn,2,463,NA,NA,5,2010
246,20,10400,NA,NWAmes,7,5,1988,1988,929,916,1845,1872,0,3,1,6,1,Fin,2,604,NA,NA,6,2006
247,190,9142,Grvl,OldTown,6,8,1910,1950,0,1020,1020,1928,0,4,2,9,0,Unf,1,440,NA,NA,4,2006
248,20,11310,NA,NAmes,6,5,1954,1954,0,1367,1367,1375,0,2,1,5,1,Unf,2,451,NA,NA,6,2006
249,60,11317,NA,CollgCr,7,5,2003,2003,0,840,840,1668,0,3,1,8,0,RFn,2,500,NA,NA,9,2007
250,50,159000,NA,ClearCr,6,7,1958,2006,697,747,1444,2144,0,4,1,7,2,Fin,2,389,NA,Shed,6,2007
251,30,5350,NA,BrkSide,3,2,1940,1966,0,728,728,1306,0,3,1,6,0,NA,0,0,NA,Shed,5,2010
252,120,4750,NA,Crawfor,8,5,2006,2007,1573,0,1573,1625,1,2,1,5,1,Fin,2,538,NA,NA,12,2007
253,60,8366,NA,SawyerW,6,5,2004,2004,0,798,798,1640,0,3,1,6,0,RFn,2,520,NA,NA,12,2008
254,80,9350,NA,NAmes,6,7,1964,1991,270,452,1302,1302,0,3,1,7,0,RFn,1,309,NA,NA,10,2007
255,20,8400,NA,NAmes,5,6,1957,1957,922,392,1314,1314,1,3,1,5,0,RFn,1,294,NA,NA,6,2010
256,60,8738,NA,Gilbert,7,5,1999,1999,0,975,975,2291,0,4,1,8,1,Fin,2,429,NA,NA,2,2006
257,60,8791,NA,Somerst,6,5,2003,2003,503,361,864,1728,0,3,1,7,0,RFn,2,673,NA,NA,5,2008
258,20,8814,NA,CollgCr,7,5,2006,2006,1334,270,1604,1604,1,3,1,8,1,RFn,2,660,NA,NA,3,2009
259,60,12435,NA,CollgCr,7,5,2001,2001,361,602,963,1792,0,3,1,7,1,RFn,2,564,NA,NA,5,2008
260,20,12702,NA,OldTown,5,5,1956,1956,0,0,0,882,0,2,1,4,0,Unf,1,308,NA,NA,12,2008
261,80,19296,NA,NAmes,6,5,1962,1962,672,0,1362,1382,1,3,1,6,1,Unf,2,884,NA,NA,5,2009
262,60,9588,NA,CollgCr,8,5,2007,2007,0,1482,1482,2574,0,3,1,10,1,Fin,3,868,NA,NA,11,2007
263,80,8471,NA,Sawyer,6,7,1977,1995,506,0,506,1212,1,3,1,6,1,Unf,2,492,NA,NA,7,2006
264,50,5500,NA,OldTown,5,7,1929,2001,234,0,926,1316,1,3,1,6,0,Unf,2,484,NA,NA,4,2010
265,30,5232,Grvl,OldTown,5,5,1925,2004,0,680,680,764,0,2,1,4,0,Unf,2,504,NA,NA,6,2008
266,20,12090,NA,NWAmes,6,6,1981,1981,588,606,1422,1422,0,3,1,7,1,Fin,2,576,NA,NA,6,2008
267,60,11207,NA,Gilbert,6,5,1997,1997,714,88,802,1511,1,3,1,8,1,Fin,2,413,NA,NA,6,2006
268,75,8400,NA,SWISU,5,8,1939,1997,378,342,720,2192,0,4,1,8,1,Unf,1,240,NA,NA,7,2008
269,30,6900,NA,IDOTRR,5,6,1940,1955,403,212,740,778,0,2,1,4,1,Fin,1,924,NA,NA,2,2008
270,20,7917,NA,Edwards,6,7,1976,1976,751,392,1143,1113,1,3,1,6,1,RFn,1,504,NA,NA,5,2007
271,60,10728,NA,Somerst,8,5,2006,2006,0,1095,1095,1939,0,3,1,8,1,RFn,3,1053,NA,NA,8,2006
272,20,39104,NA,ClearCr,7,7,1954,2005,226,96,1385,1363,1,2,1,5,2,Unf,2,439,NA,NA,4,2008
273,60,11764,NA,NoRidge,8,7,1999,2007,524,628,1152,2270,0,4,1,9,1,Fin,3,671,NA,NA,4,2010
274,20,9600,NA,NAmes,6,6,1958,1988,620,0,1240,1632,1,3,1,6,1,RFn,1,338,NA,NA,4,2009
275,20,8314,NA,Mitchel,5,7,1982,1982,546,270,816,816,0,2,1,5,0,Unf,1,264,NA,NA,6,2007
276,50,7264,NA,BrkSide,7,7,1925,2007,0,952,952,1548,0,3,1,5,0,Unf,2,672,NA,NA,10,2009
277,20,9196,NA,Mitchel,7,5,2003,2003,0,1560,1560,1560,0,3,1,7,0,Fin,2,573,NA,NA,4,2010
278,20,19138,NA,Gilbert,4,5,1951,1951,120,744,864,864,0,2,1,4,0,Unf,2,400,NA,NA,6,2010
279,20,14450,NA,NridgHt,9,5,2006,2007,0,2121,2121,2121,0,3,1,8,1,Fin,3,732,NA,NA,5,2007
280,60,10005,NA,ClearCr,7,5,1977,1977,392,768,1160,2022,0,4,1,8,1,Fin,2,505,NA,NA,3,2008
281,60,11287,NA,SawyerW,7,6,1989,1989,421,386,807,1982,0,3,1,7,1,Fin,2,575,NA,NA,1,2007
282,20,7200,Pave,Somerst,6,5,2006,2006,905,357,1262,1262,0,2,1,5,0,Fin,2,572,NA,NA,5,2006
283,120,5063,NA,NridgHt,7,5,2007,2008,904,410,1314,1314,1,2,1,6,1,RFn,2,626,NA,NA,4,2009
284,20,9612,NA,Somerst,8,5,2008,2009,0,1468,1468,1468,0,3,1,6,1,Fin,3,898,NA,NA,12,2009
285,120,8012,NA,SawyerW,6,5,1992,1992,430,1145,1575,1575,1,2,1,5,0,RFn,2,529,NA,NA,7,2007
286,160,4251,Pave,Somerst,7,5,2006,2007,0,625,625,1250,0,2,1,5,0,RFn,2,528,NA,NA,6,2007
287,50,9786,NA,NAmes,6,7,1962,1981,600,312,912,1734,0,3,1,7,1,RFn,2,440,NA,NA,6,2006
288,20,8125,NA,NAmes,4,4,1971,1971,614,244,858,858,0,3,1,5,0,NA,0,0,NA,NA,6,2006
289,20,9819,NA,Sawyer,5,5,1967,1967,450,432,882,900,0,3,1,5,0,Unf,1,280,NA,NA,2,2010
290,70,8730,NA,BrkSide,6,7,1915,2003,0,698,698,1396,0,3,1,7,0,Unf,1,384,NA,NA,7,2007
291,60,15611,NA,CollgCr,8,5,2006,2006,0,1079,1079,1919,0,3,1,8,1,RFn,2,685,NA,NA,7,2006
292,190,5687,Grvl,SWISU,5,6,1912,2000,210,570,780,1716,1,6,1,9,0,NA,0,0,NA,NA,3,2008
293,50,11409,NA,Edwards,5,4,1949,2008,292,476,768,1716,0,3,1,8,1,Unf,1,281,NA,NA,1,2009
294,60,16659,NA,NWAmes,7,7,1977,1994,795,0,795,2263,1,3,1,9,1,Fin,2,539,NA,NA,3,2006
295,20,9600,NA,NAmes,6,5,1953,1953,1285,131,1416,1644,1,3,1,7,2,Fin,2,418,NA,NA,10,2009
296,80,7937,NA,Mitchel,6,6,1984,1984,819,184,1003,1003,1,3,1,6,0,Unf,2,588,NA,NA,3,2006
297,50,13710,NA,IDOTRR,5,5,1950,1950,420,490,910,1558,0,4,1,6,0,Unf,1,282,NA,NA,6,2007
298,60,7399,Pave,Somerst,7,5,1997,1998,649,326,975,1950,0,3,1,7,1,RFn,2,576,NA,NA,6,2007
299,60,11700,NA,NWAmes,6,6,1968,1968,384,143,702,1743,0,3,1,7,1,Unf,2,539,NA,NA,6,2007
300,20,14000,NA,Crawfor,6,8,1950,2004,0,1092,1092,1152,0,3,1,6,1,Unf,1,300,NA,NA,8,2009
301,190,15750,NA,Crawfor,5,5,1953,1953,841,324,1165,1336,1,2,1,5,2,Unf,1,375,NA,NA,6,2006
302,60,16226,NA,CollgCr,8,5,1998,1999,281,747,1028,2452,0,4,1,9,1,Fin,2,683,NA,NA,5,2007
303,20,13704,NA,CollgCr,7,5,2001,2002,0,1541,1541,1541,0,3,1,6,1,RFn,3,843,NA,NA,1,2006
304,20,9800,NA,CollgCr,5,7,1972,1972,894,0,894,894,1,3,1,5,0,Unf,2,552,NA,NA,7,2006
305,75,18386,NA,OldTown,7,9,1880,2002,0,1470,1470,3493,0,3,1,10,1,Unf,3,870,NA,NA,5,2008
306,20,10386,NA,CollgCr,8,5,2004,2005,1464,536,2000,2000,1,3,1,8,0,Fin,3,888,NA,NA,7,2007
307,60,13474,NA,SawyerW,7,5,1990,1991,700,0,700,2243,1,4,1,8,1,RFn,3,746,NA,NA,6,2007
308,50,7920,Grvl,IDOTRR,6,7,1920,1950,0,319,319,1406,0,3,1,6,0,NA,0,0,NA,NA,3,2008
309,30,12342,NA,Edwards,4,5,1940,1950,262,599,861,861,0,1,1,4,0,Unf,2,539,NA,NA,3,2009
310,20,12378,NA,NridgHt,9,5,2003,2004,1274,622,1896,1944,1,3,1,8,3,Fin,3,708,NA,NA,11,2006
311,60,7685,NA,Gilbert,6,5,1993,1994,518,179,697,1501,0,3,1,6,1,Fin,2,420,NA,NA,5,2006
312,20,8000,NA,NAmes,6,6,1948,2002,680,292,972,972,1,2,1,5,1,Unf,1,240,NA,NA,5,2009
313,190,7800,NA,OldTown,5,7,1939,1950,507,286,793,1118,1,3,1,5,1,Unf,2,410,NA,NA,5,2006
314,20,215245,NA,Timber,7,5,1965,1965,1236,80,2136,2036,2,3,1,8,2,RFn,2,513,NA,NA,6,2009
315,70,9600,Grvl,OldTown,7,7,1925,1990,16,712,728,1641,0,3,1,6,1,Unf,2,546,NA,NA,8,2006
316,60,7795,NA,Gilbert,7,5,2004,2005,425,291,716,1432,1,3,1,6,1,Fin,2,432,NA,NA,7,2009
317,60,13005,NA,NWAmes,7,7,1980,1980,692,153,845,2353,1,4,1,10,1,RFn,2,484,NA,NA,8,2009
318,60,9000,NA,Somerst,8,5,2006,2006,0,1088,1088,1959,0,3,1,8,1,RFn,3,1025,NA,NA,12,2007
319,60,9900,NA,NoRidge,7,5,1993,1993,987,360,1347,2646,1,4,1,9,1,RFn,3,656,NA,NA,4,2009
320,80,14115,NA,NWAmes,7,5,1980,1980,1036,336,1372,1472,1,3,1,6,2,Unf,2,588,NA,NA,6,2009
321,60,16259,NA,NridgHt,9,5,2006,2006,0,1249,1249,2596,0,4,1,9,0,RFn,3,840,NA,NA,9,2006
322,60,12099,NA,NridgHt,8,5,2004,2004,970,166,1136,2468,1,4,1,10,1,Fin,3,872,NA,NA,6,2007
323,60,10380,NA,SawyerW,7,5,1986,1987,28,0,1502,2730,1,4,1,8,1,Fin,2,576,NA,NA,8,2007
324,20,5820,NA,OldTown,3,8,1955,2005,256,906,1162,1163,1,3,1,6,0,Unf,1,220,NA,NA,7,2006
325,80,11275,NA,NAmes,7,7,1967,2007,0,710,710,2978,0,5,1,11,1,Fin,2,564,NA,NA,6,2010
326,45,5000,NA,IDOTRR,5,6,1941,1950,116,604,720,803,0,2,1,5,0,Unf,2,360,NA,NA,12,2007
327,120,10846,NA,Veenker,8,5,1993,1993,1619,100,1719,1719,2,1,1,6,2,Fin,2,473,NA,NA,5,2008
328,20,11600,NA,NAmes,6,5,1960,1960,565,818,1383,1383,0,3,1,7,0,RFn,1,292,NA,NA,4,2006
329,75,11888,Pave,BrkSide,6,6,1916,1994,0,844,844,2134,0,5,1,10,0,Unf,2,441,NA,NA,7,2009
330,70,6402,NA,IDOTRR,5,5,1920,1950,0,596,596,1192,0,3,1,6,0,Unf,1,189,NA,NA,7,2009
331,90,10624,NA,NAmes,5,4,1964,1964,40,1424,1728,1728,0,6,2,10,0,Unf,1,352,NA,NA,11,2007
332,20,8176,NA,NAmes,5,6,1958,1992,846,210,1056,1056,1,3,1,6,0,RFn,1,308,NA,NA,8,2007
333,20,10655,NA,NridgHt,8,5,2003,2004,1124,1603,3206,1629,1,3,1,7,1,RFn,3,880,NA,NA,10,2009
334,120,8198,NA,NridgHt,7,5,2004,2004,720,638,1358,1358,1,2,1,6,1,RFn,2,484,NA,NA,7,2008
335,60,9042,NA,Gilbert,6,5,1998,1998,828,115,943,1638,1,3,1,7,2,Fin,2,472,NA,NA,7,2008
336,190,164660,NA,Timber,5,6,1965,1965,1249,103,1499,1786,2,3,1,7,2,Fin,2,529,NA,Shed,8,2008
337,20,14157,NA,StoneBr,9,5,2005,2006,1249,673,1922,1922,1,3,1,8,1,Fin,3,676,NA,NA,7,2007
338,20,9135,NA,CollgCr,7,5,2002,2003,810,726,1536,1536,1,3,1,7,0,RFn,2,532,NA,NA,12,2008
339,20,14145,NA,NWAmes,7,7,1984,1998,213,995,1208,1621,1,3,1,8,0,RFn,2,440,NA,Shed,5,2006
340,20,12400,NA,NAmes,6,7,1958,1998,585,630,1215,1215,0,3,1,6,0,Unf,1,297,NA,NA,6,2009
341,60,14191,NA,Timber,8,5,2002,2002,0,967,967,1908,0,4,1,9,0,Fin,2,431,NA,NA,4,2010
342,20,8400,NA,SawyerW,4,4,1950,1950,0,721,721,841,0,2,1,4,0,Unf,1,294,NA,NA,9,2009
343,90,8544,NA,NAmes,3,4,1949,1950,0,0,0,1040,0,2,2,6,0,Unf,2,400,NA,NA,5,2006
344,120,8849,NA,NridgHt,9,5,2005,2005,28,1656,1684,1684,0,2,1,6,1,RFn,2,564,NA,NA,7,2008
345,160,2592,NA,MeadowV,5,3,1976,1976,129,175,536,1112,0,3,1,4,0,Unf,1,336,NA,NA,4,2010
346,50,6435,NA,BrkSide,6,5,1939,1950,0,972,972,1577,0,3,1,6,1,Unf,1,312,NA,NA,10,2006
347,20,12772,NA,NAmes,6,8,1960,1998,498,460,958,958,0,2,1,5,0,RFn,1,301,NA,Gar2,4,2007
348,20,17600,NA,NAmes,6,5,1960,1960,1270,208,1478,1478,1,3,1,6,2,Unf,2,498,NA,NA,12,2009
349,160,2448,NA,NridgHt,7,5,2003,2004,573,191,764,1626,1,2,1,6,0,RFn,2,474,NA,NA,10,2008
350,60,20431,NA,NridgHt,9,5,2005,2006,1410,438,1848,2728,1,4,1,10,2,Fin,3,706,NA,NA,4,2006
351,120,7820,NA,NridgHt,9,5,2007,2007,0,1869,1869,1869,0,2,1,6,1,RFn,2,617,NA,NA,12,2007
352,120,5271,NA,ClearCr,7,5,1986,1986,1082,371,1453,1453,1,2,1,6,1,RFn,2,445,NA,NA,12,2006
353,50,9084,NA,Edwards,5,6,1941,1950,236,0,616,1111,0,3,1,5,0,Unf,1,200,NA,NA,3,2008
354,30,8520,NA,OldTown,6,8,1928,2003,0,624,624,720,0,2,1,5,0,Unf,2,484,NA,NA,5,2010
355,50,8400,NA,SWISU,6,5,1940,2000,388,552,940,1595,0,2,1,6,2,Unf,1,240,NA,NA,6,2006
356,20,11249,NA,CollgCr,6,5,1995,1995,334,322,1200,1200,1,3,1,6,0,RFn,2,521,NA,NA,8,2007
357,20,9248,NA,Gilbert,6,6,1992,1992,560,598,1158,1167,1,3,1,6,0,RFn,2,400,NA,NA,7,2009
358,120,4224,NA,MeadowV,5,5,1976,1976,874,268,1142,1142,1,3,1,6,1,Fin,2,528,NA,NA,8,2007
359,80,6930,NA,ClearCr,5,4,1958,1958,300,468,1062,1352,0,3,1,6,0,Unf,1,288,NA,NA,7,2006
360,60,12011,NA,NoRidge,8,5,1998,1998,956,130,1086,1924,1,3,1,7,1,RFn,2,592,NA,NA,6,2006
361,85,7540,NA,Mitchel,6,6,1978,1978,773,115,888,912,1,2,1,5,1,RFn,2,470,NA,NA,6,2007
362,50,9144,Pave,BrkSide,5,5,1940,1982,399,484,883,1505,1,3,1,8,0,Unf,1,240,NA,NA,7,2008
363,85,7301,NA,Edwards,7,5,2003,2003,0,0,0,1922,0,4,1,7,1,RFn,2,672,NA,NA,7,2009
364,160,1680,NA,BrDale,6,8,1972,2007,162,321,483,987,0,2,1,5,0,Unf,1,264,NA,NA,5,2009
365,60,18800,NA,NWAmes,6,5,1976,1976,712,84,796,1574,1,3,1,6,1,Fin,2,566,NA,NA,7,2006
366,70,10690,NA,IDOTRR,5,7,1920,1997,456,216,672,1344,0,3,1,6,0,Unf,1,468,NA,NA,7,2009
367,20,9500,NA,NAmes,6,5,1963,1963,609,785,1394,1394,1,3,1,6,2,RFn,2,514,NA,NA,7,2009
368,80,9150,NA,NAmes,6,5,1962,1962,371,728,1099,1431,0,3,1,6,1,RFn,1,296,NA,NA,12,2008
369,20,7800,NA,NAmes,5,6,1954,1954,540,728,1268,1268,0,2,1,7,1,Fin,1,244,NA,NA,3,2010
370,20,9830,NA,NAmes,5,7,1959,2006,72,733,1063,1287,1,3,1,7,1,Fin,2,576,NA,NA,3,2010
371,60,8121,NA,Gilbert,6,5,2000,2000,0,953,953,1664,0,3,1,7,1,RFn,2,460,NA,NA,1,2006
372,50,17120,NA,ClearCr,4,4,1959,1959,0,0,0,1588,0,4,1,7,1,Fin,2,680,NA,NA,7,2008
373,120,7175,NA,SawyerW,6,5,1984,1984,623,0,744,752,1,2,1,4,0,Unf,1,264,NA,NA,2,2010
374,20,10634,NA,NAmes,5,6,1953,1953,428,0,608,1319,1,3,1,5,0,Unf,1,270,NA,NA,11,2009
375,60,8200,NA,CollgCr,7,5,2003,2004,0,847,847,1928,0,4,1,8,1,Fin,2,434,NA,NA,7,2007
376,30,10020,NA,Edwards,1,1,1922,1950,350,333,683,904,1,1,1,4,0,NA,0,0,NA,NA,3,2009
377,85,8846,NA,CollgCr,5,5,1996,1996,298,572,870,914,0,2,1,5,0,Unf,2,576,NA,NA,7,2006
378,60,11143,NA,Somerst,8,5,2004,2005,0,1580,1580,2466,0,4,1,8,1,RFn,2,610,NA,NA,12,2007
379,20,11394,NA,StoneBr,9,2,2010,2010,1445,411,1856,1856,1,1,1,8,1,Fin,3,834,NA,NA,6,2010
380,60,8123,NA,Gilbert,6,5,2000,2000,0,982,982,1800,0,3,1,7,1,Fin,2,463,NA,NA,6,2009
381,50,5000,Pave,SWISU,5,6,1924,1950,218,808,1026,1691,0,3,1,6,1,Unf,1,308,NA,NA,5,2010
382,20,7200,Pave,Somerst,7,5,2006,2006,0,1293,1293,1301,1,2,1,5,1,RFn,2,572,NA,NA,8,2006
383,60,9245,NA,CollgCr,7,5,2006,2006,0,939,939,1797,0,3,1,8,0,RFn,2,639,NA,NA,4,2007
384,45,9000,NA,SawyerW,6,3,1928,1950,0,784,784,784,0,2,1,5,0,Unf,2,360,NA,NA,10,2009
385,60,53107,NA,ClearCr,6,5,1992,1992,985,595,1580,1953,1,3,1,9,2,Fin,2,501,NA,NA,6,2007
386,120,3182,NA,Blmngtn,8,5,2004,2005,24,1232,1256,1269,0,2,1,6,1,Fin,2,430,NA,NA,4,2010
387,50,8410,NA,Edwards,5,3,1910,1996,0,658,658,1184,0,5,1,8,0,NA,0,0,NA,NA,5,2006
388,80,7200,NA,Edwards,6,6,1976,1976,631,410,1041,1125,1,3,1,6,1,Unf,1,352,NA,NA,10,2009
389,20,9382,NA,CollgCr,7,5,1999,2000,0,1468,1468,1479,0,3,1,6,0,RFn,2,577,NA,NA,7,2008
390,60,12474,NA,NridgHt,10,5,2007,2008,1280,402,1682,2332,1,3,1,9,1,Fin,3,846,NA,NA,8,2008
391,50,8405,Grvl,Edwards,5,8,1900,1950,241,229,861,1367,1,4,1,7,0,Unf,1,384,NA,NA,4,2008
392,60,12209,NA,Mitchel,6,5,2001,2002,690,114,804,1961,1,3,1,7,1,Fin,2,560,NA,NA,6,2009
393,20,8339,NA,NAmes,5,7,1959,1959,0,0,0,882,0,3,1,5,0,RFn,1,294,NA,Shed,7,2007
394,30,7446,NA,BrkSide,4,5,1941,1950,266,522,788,788,0,2,1,4,2,NA,0,0,NA,NA,4,2006
395,50,10134,NA,OldTown,5,6,1940,1950,0,735,735,1034,0,2,1,5,0,Unf,1,240,NA,NA,7,2007
396,20,9571,NA,Edwards,5,6,1956,1956,739,405,1144,1144,1,3,1,6,0,Unf,1,596,NA,NA,6,2010
397,20,7200,NA,CollgCr,5,5,1972,1972,777,117,894,894,0,2,1,6,0,RFn,2,600,NA,NA,9,2009
398,60,7590,NA,NAmes,5,5,1962,1962,540,324,864,1812,0,4,1,8,1,RFn,1,264,NA,NA,7,2007
399,30,8967,NA,IDOTRR,5,2,1920,1950,0,961,961,1077,0,2,1,6,0,Unf,1,338,NA,NA,11,2007
400,60,8125,NA,Somerst,7,5,2006,2007,812,280,1092,1550,1,2,1,7,0,Fin,2,438,NA,NA,10,2009
401,120,14963,NA,Veenker,8,5,1996,1996,786,474,1260,1288,1,1,1,4,2,Fin,2,500,NA,NA,12,2008
402,20,8767,NA,CollgCr,7,5,2005,2005,24,1286,1310,1310,0,3,1,6,1,Fin,2,400,NA,NA,7,2006
403,30,10200,NA,Sawyer,5,8,1940,1997,0,672,672,672,0,2,1,4,0,Unf,1,240,NA,NA,8,2008
404,60,12090,NA,NoRidge,8,5,1998,1998,0,1141,1141,2263,0,4,1,10,1,Fin,2,420,NA,NA,7,2006
405,60,10364,NA,Gilbert,6,5,1995,1996,0,806,806,1572,0,3,1,7,1,Fin,2,373,NA,NA,5,2007
406,20,9991,NA,Sawyer,4,4,1976,1993,1116,165,1281,1620,1,3,1,8,1,Unf,2,490,NA,NA,6,2009
407,50,10480,NA,SWISU,6,5,1936,1950,0,1064,1064,1639,0,3,1,6,0,Unf,1,240,NA,NA,3,2008
408,70,15576,NA,Crawfor,6,7,1915,1976,0,840,840,1680,0,4,1,8,0,Unf,1,308,NA,NA,3,2008
409,60,14154,NA,NridgHt,7,5,2006,2006,0,1063,1063,2172,0,3,1,9,1,RFn,3,947,NA,NA,8,2007
410,60,10800,NA,Somerst,8,5,2007,2008,789,245,1034,2078,1,3,1,8,1,Fin,3,836,NA,NA,4,2008
411,20,9571,NA,Edwards,5,3,1958,1958,0,1276,1276,1276,0,3,1,5,0,Unf,1,350,NA,NA,6,2009
412,190,34650,NA,Gilbert,5,5,1955,1955,1056,0,1056,1056,1,3,1,5,0,Fin,2,572,NA,NA,1,2006
413,20,4403,NA,Somerst,7,5,2009,2009,578,892,1470,1478,1,2,1,7,1,Fin,2,484,NA,NA,6,2010
414,30,8960,Grvl,OldTown,5,6,1927,1950,0,1008,1008,1028,0,2,1,5,1,Unf,2,360,NA,NA,3,2010
415,60,11228,NA,SawyerW,7,5,1993,1993,50,499,1080,2097,0,3,1,9,1,Unf,3,678,NA,NA,12,2008
416,20,8899,NA,Gilbert,7,5,2007,2007,24,1316,1340,1340,0,3,1,6,0,Fin,2,396,NA,NA,8,2007
417,60,7844,NA,Sawyer,6,7,1978,1978,209,463,672,1400,0,3,1,6,1,Fin,2,440,NA,NA,3,2006
418,70,22420,NA,Crawfor,6,6,1918,1950,1128,242,1370,2624,1,4,1,10,1,Unf,3,864,NA,NA,11,2007
419,50,8160,NA,Edwards,5,6,1940,1950,312,444,756,1134,1,3,1,7,0,Unf,1,240,NA,NA,4,2007
420,20,8450,NA,NAmes,5,6,1968,1968,775,281,1056,1056,1,3,1,6,1,Unf,1,304,NA,NA,7,2010
421,90,7060,NA,Mitchel,7,5,1997,1998,1309,35,1344,1344,2,2,2,8,0,Fin,4,784,NA,NA,11,2008
422,20,16635,NA,NWAmes,6,7,1977,2000,1246,356,1602,1602,0,3,1,8,1,Fin,2,529,NA,NA,6,2009
423,20,21750,NA,Mitchel,5,5,1954,1954,0,988,988,988,0,2,1,4,0,RFn,2,520,NA,NA,2,2008
424,60,9200,NA,NoRidge,8,5,1998,1998,986,484,1470,2630,1,4,1,8,1,Fin,3,696,NA,NA,6,2008
425,20,9000,NA,NAmes,6,5,1956,1956,616,580,1196,1196,1,2,1,6,1,RFn,1,297,NA,NA,5,2008
